yourlist:M202205245BF3C56A578D7D6DFD1FC81EE5DA77304E151FU	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
OR6Q1_HUMAN	Q8NGQ2	OR6Q1_HUMAN	reviewed	Olfactory receptor 6Q1 (Olfactory receptor OR11-226)	OR6Q1	Homo sapiens (Human)	317
OR5DD_HUMAN	Q8NGL4	OR5DD_HUMAN	reviewed	Olfactory receptor 5D13 (Olfactory receptor OR11-142) (Olfactory receptor OR11-148)	OR5D13	Homo sapiens (Human)	314
OR4CG_HUMAN	Q8NGL9	OR4CG_HUMAN	reviewed	Olfactory receptor 4C16 (Olfactory receptor OR11-135)	OR4C16	Homo sapiens (Human)	310
OR5DE_HUMAN	Q8NGL3	OR5DE_HUMAN	reviewed	Olfactory receptor 5D14 (Olfactory receptor OR11-141) (Olfactory receptor OR11-150)	OR5D14	Homo sapiens (Human)	314
OR5L1_HUMAN	Q8NGL2	OR5L1_HUMAN	reviewed	Olfactory receptor 5L1 (OST262) (Olfactory receptor OR11-151)	OR5L1	Homo sapiens (Human)	311
O10AG_HUMAN	Q8NH19	O10AG_HUMAN	reviewed	Olfactory receptor 10AG1 (Olfactory receptor OR11-160)	OR10AG1	Homo sapiens (Human)	301
OR5T1_HUMAN	Q8NG75	OR5T1_HUMAN	reviewed	Olfactory receptor 5T1 (Olfactory receptor OR11-179)	OR5T1 OR5T1P	Homo sapiens (Human)	326
O5AS1_HUMAN	Q8N127	O5AS1_HUMAN	reviewed	Olfactory receptor 5AS1 (Olfactory receptor OR11-168)	OR5AS1	Homo sapiens (Human)	324
OR5J2_HUMAN	Q8NH18	OR5J2_HUMAN	reviewed	Olfactory receptor 5J2 (Olfactory receptor OR11-266)	OR5J2	Homo sapiens (Human)	312
OR8I2_HUMAN	Q8N0Y5	OR8I2_HUMAN	reviewed	Olfactory receptor 8I2 (Olfactory receptor OR11-170)	OR8I2	Homo sapiens (Human)	310
OR8K5_HUMAN	Q8NH50	OR8K5_HUMAN	reviewed	Olfactory receptor 8K5 (Olfactory receptor OR11-174)	OR8K5	Homo sapiens (Human)	307
OR5M8_HUMAN	Q8NGP6	OR5M8_HUMAN	reviewed	Olfactory receptor 5M8 (Olfactory receptor OR11-194)	OR5M8	Homo sapiens (Human)	311
OR5MA_HUMAN	Q6IEU7	OR5MA_HUMAN	reviewed	Olfactory receptor 5M10 (Olfactory receptor OR11-207)	OR5M10	Homo sapiens (Human)	315
O5AP2_HUMAN	Q8NGF4	O5AP2_HUMAN	reviewed	Olfactory receptor 5AP2	OR5AP2	Homo sapiens (Human)	316
O5AR1_HUMAN	Q8NGP9	O5AR1_HUMAN	reviewed	Olfactory receptor 5AR1 (Olfactory receptor OR11-209)	OR5AR1	Homo sapiens (Human)	310
OR9G4_HUMAN	Q8NGQ1	OR9G4_HUMAN	reviewed	Olfactory receptor 9G4 (Olfactory receptor OR11-216)	OR9G4	Homo sapiens (Human)	327
OR9G9_HUMAN	P0C7N8	OR9G9_HUMAN	reviewed	Olfactory receptor 9G9	OR9G9	Homo sapiens (Human)	305
FS2P1_HUMAN	A8MWK0	FS2P1_HUMAN	reviewed	Putative fatty acid desaturase 2-like protein FADS2B (Fatty acid desaturase 2 pseudogene 1) (Fatty acid desaturase 2B, pseudogene)	FADS2B FADS2P1	Homo sapiens (Human)	482
O5AK2_HUMAN	Q8NH90	O5AK2_HUMAN	reviewed	Olfactory receptor 5AK2	OR5AK2	Homo sapiens (Human)	309
OR1S2_HUMAN	Q8NGQ3	OR1S2_HUMAN	reviewed	Olfactory receptor 1S2 (Olfactory receptor OR11-231)	OR1S2	Homo sapiens (Human)	325
OR5A1_HUMAN	Q8NGJ0	OR5A1_HUMAN	reviewed	Olfactory receptor 5A1 (OST181) (Olfactory receptor OR11-249)	OR5A1 OR5A1P	Homo sapiens (Human)	315
OR9I1_HUMAN	Q8NGQ6	OR9I1_HUMAN	reviewed	Olfactory receptor 9I1 (Olfactory receptor OR11-228)	OR9I1	Homo sapiens (Human)	314
O10A7_HUMAN	Q8NGE5	O10A7_HUMAN	reviewed	Olfactory receptor 10A7 (Olfactory receptor OR12-6)	OR10A7	Homo sapiens (Human)	316
OR9Q1_HUMAN	Q8NGQ5	OR9Q1_HUMAN	reviewed	Olfactory receptor 9Q1	OR9Q1	Homo sapiens (Human)	310
OR8H1_HUMAN	Q8NGG4	OR8H1_HUMAN	reviewed	Olfactory receptor 8H1 (Olfactory receptor OR11-180)	OR8H1	Homo sapiens (Human)	311
OR8J3_HUMAN	Q8NGG0	OR8J3_HUMAN	reviewed	Olfactory receptor 8J3 (Olfactory receptor OR11-173)	OR8J3	Homo sapiens (Human)	315
PAP1M_HUMAN	Q5JQF8	PAP1M_HUMAN	reviewed	Polyadenylate-binding protein 1-like 2 (RNA-binding motif protein 32) (RNA-binding protein 32)	PABPC1L2A PABPC1L2 RBM32A; PABPC1L2B PABPC1L2 RBM32B	Homo sapiens (Human)	200
TPC13_HUMAN	A5PLN9	TPC13_HUMAN	reviewed	Trafficking protein particle complex subunit 13	TRAPPC13 C5orf44	Homo sapiens (Human)	417
RL3_HUMAN	P39023	RL3_HUMAN	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	403
SAA1_HUMAN	P0DJI8	SAA1_HUMAN	reviewed	Serum amyloid A-1 protein (SAA) [Cleaved into: Amyloid protein A (Amyloid fibril protein AA); Serum amyloid protein A(2-104); Serum amyloid protein A(3-104); Serum amyloid protein A(2-103); Serum amyloid protein A(2-102); Serum amyloid protein A(4-101)]	SAA1	Homo sapiens (Human)	122
CD1D_HUMAN	P15813	CD1D_HUMAN	reviewed	Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d)	CD1D	Homo sapiens (Human)	335
OR6N2_HUMAN	Q8NGY6	OR6N2_HUMAN	reviewed	Olfactory receptor 6N2 (Olfactory receptor OR1-23)	OR6N2	Homo sapiens (Human)	317
OR6N1_HUMAN	Q8NGY5	OR6N1_HUMAN	reviewed	Olfactory receptor 6N1	OR6N1	Homo sapiens (Human)	312
CD1C_HUMAN	P29017	CD1C_HUMAN	reviewed	T-cell surface glycoprotein CD1c (CD antigen CD1c)	CD1C	Homo sapiens (Human)	333
CD1E_HUMAN	P15812	CD1E_HUMAN	reviewed	T-cell surface glycoprotein CD1e, membrane-associated (hCD1e) (R2G1) (CD antigen CD1e) [Cleaved into: T-cell surface glycoprotein CD1e, soluble (sCD1e)]	CD1E	Homo sapiens (Human)	388
CD1B_HUMAN	P29016	CD1B_HUMAN	reviewed	T-cell surface glycoprotein CD1b (CD antigen CD1b)	CD1B	Homo sapiens (Human)	333
FCRL2_HUMAN	Q96LA5	FCRL2_HUMAN	reviewed	Fc receptor-like protein 2 (FcR-like protein 2) (FcRL2) (Fc receptor homolog 2) (FcRH2) (IFGP family protein 4) (Immunoglobulin receptor translocation-associated protein 4) (SH2 domain-containing phosphatase anchor protein 1) (CD antigen CD307b)	FCRL2 FCRH2 IFGP4 IRTA4 SPAP1 UNQ9236/PRO31998	Homo sapiens (Human)	508
IF16_HUMAN	Q16666	IF16_HUMAN	reviewed	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)	785
MNDA_HUMAN	P41218	MNDA_HUMAN	reviewed	Myeloid cell nuclear differentiation antigen	MNDA	Homo sapiens (Human)	407
COX5B_HUMAN	P10606	COX5B_HUMAN	reviewed	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	COX5B	Homo sapiens (Human)	129
O10K2_HUMAN	Q6IF99	O10K2_HUMAN	reviewed	Olfactory receptor 10K2 (Olfactory receptor OR1-4)	OR10K2	Homo sapiens (Human)	312
OR6P1_HUMAN	Q8NGX9	OR6P1_HUMAN	reviewed	Olfactory receptor 6P1 (Olfactory receptor OR1-12)	OR6P1	Homo sapiens (Human)	317
CD1A_HUMAN	P06126	CD1A_HUMAN	reviewed	T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a)	CD1A	Homo sapiens (Human)	327
O10J1_HUMAN	P30954	O10J1_HUMAN	reviewed	Olfactory receptor 10J1 (Olfactory receptor OR1-26) (Olfactory receptor-like protein HGMP07J)	OR10J1	Homo sapiens (Human)	320
OR6K6_HUMAN	Q8NGW6	OR6K6_HUMAN	reviewed	Olfactory receptor 6K6 (Olfactory receptor OR1-21)	OR6K6	Homo sapiens (Human)	343
OR6K3_HUMAN	Q8NGY3	OR6K3_HUMAN	reviewed	Olfactory receptor 6K3 (Olfactory receptor OR1-18)	OR6K3	Homo sapiens (Human)	331
OR6K2_HUMAN	Q8NGY2	OR6K2_HUMAN	reviewed	Olfactory receptor 6K2 (Olfactory receptor OR1-17)	OR6K2	Homo sapiens (Human)	324
O10X1_HUMAN	Q8NGY0	O10X1_HUMAN	reviewed	Olfactory receptor 10X1 (Olfactory receptor OR1-14)	OR10X1 OR10X1P	Homo sapiens (Human)	326
O10T2_HUMAN	Q8NGX3	O10T2_HUMAN	reviewed	Olfactory receptor 10T2 (Olfactory receptor OR1-3)	OR10T2	Homo sapiens (Human)	314
ZAP70_HUMAN	P43403	ZAP70_HUMAN	reviewed	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	619
OR6Y1_HUMAN	Q8NGX8	OR6Y1_HUMAN	reviewed	Olfactory receptor 6Y1 (Olfactory receptor 6Y2) (Olfactory receptor OR1-11)	OR6Y1 OR6Y2	Homo sapiens (Human)	325
O10J3_HUMAN	Q5JRS4	O10J3_HUMAN	reviewed	Olfactory receptor 10J3	OR10J3 OR10J3P	Homo sapiens (Human)	329
O10J5_HUMAN	Q8NHC4	O10J5_HUMAN	reviewed	Olfactory receptor 10J5 (Olfactory receptor OR1-28)	OR10J5	Homo sapiens (Human)	309
AT1A2_HUMAN	P50993	AT1A2_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2)	ATP1A2 KIAA0778	Homo sapiens (Human)	1020
O10Z1_HUMAN	Q8NGY1	O10Z1_HUMAN	reviewed	Olfactory receptor 10Z1 (Olfactory receptor OR1-15)	OR10Z1	Homo sapiens (Human)	313
LY9_HUMAN	Q9HBG7	LY9_HUMAN	reviewed	T-lymphocyte surface antigen Ly-9 (Cell surface molecule Ly-9) (Lymphocyte antigen 9) (SLAM family member 3) (SLAMF3) (Signaling lymphocytic activation molecule 3) (CD antigen CD229)	LY9 CDABP0070	Homo sapiens (Human)	655
CST8_HUMAN	O60676	CST8_HUMAN	reviewed	Cystatin-8 (Cystatin-related epididymal spermatogenic protein)	CST8 CRES	Homo sapiens (Human)	142
RGPA2_HUMAN	Q2PPJ7	RGPA2_HUMAN	reviewed	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (p220)	RALGAPA2 C20orf74 KIAA1272	Homo sapiens (Human)	1873
SHF_HUMAN	Q7M4L6	SHF_HUMAN	reviewed	SH2 domain-containing adapter protein F	SHF	Homo sapiens (Human)	423
GNDS_HUMAN	Q12967	GNDS_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator (RalGDS) (Ral guanine nucleotide exchange factor) (RalGEF)	RALGDS KIAA1308 RGF	Homo sapiens (Human)	914
COA5_HUMAN	Q86WW8	COA5_HUMAN	reviewed	Cytochrome c oxidase assembly factor 5	COA5 C2orf64	Homo sapiens (Human)	74
DUOX1_HUMAN	Q9NRD9	DUOX1_HUMAN	reviewed	Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 1) (Long NOX 1) (NADPH thyroid oxidase 1) (Thyroid oxidase 1)	DUOX1 DUOX LNOX1 THOX1	Homo sapiens (Human)	1551
MAGA9_HUMAN	P43362	MAGA9_HUMAN	reviewed	Melanoma-associated antigen 9 (Cancer/testis antigen 1.9) (CT1.9) (MAGE-9 antigen)	MAGEA9 MAGE9 MAGEA9A; MAGEA9B	Homo sapiens (Human)	315
RGS7_HUMAN	P49802	RGS7_HUMAN	reviewed	Regulator of G-protein signaling 7 (RGS7)	RGS7	Homo sapiens (Human)	495
EXO1_HUMAN	Q9UQ84	EXO1_HUMAN	reviewed	Exonuclease 1 (hExo1) (EC 3.1.-.-) (Exonuclease I) (hExoI)	EXO1 EXOI HEX1	Homo sapiens (Human)	846
MLP3C_HUMAN	Q9BXW4	MLP3C_HUMAN	reviewed	Microtubule-associated proteins 1A/1B light chain 3C (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (MAP1A/MAP1B light chain 3 C) (MAP1A/MAP1B LC3 C) (Microtubule-associated protein 1 light chain 3 gamma)	MAP1LC3C	Homo sapiens (Human)	147
GREM2_HUMAN	Q9H772	GREM2_HUMAN	reviewed	Gremlin-2 (Cysteine knot superfamily 1, BMP antagonist 2) (DAN domain family member 3) (Protein related to DAN and cerberus)	GREM2 CKTSF1B2 DAND3 PRDC	Homo sapiens (Human)	168
RAE2_HUMAN	P26374	RAE2_HUMAN	reviewed	Rab proteins geranylgeranyltransferase component A 2 (Choroideremia-like protein) (Rab escort protein 2) (REP-2)	CHML REP2	Homo sapiens (Human)	656
FUMH_HUMAN	P07954	FUMH_HUMAN	reviewed	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	FH	Homo sapiens (Human)	510
KMO_HUMAN	O15229	KMO_HUMAN	reviewed	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	KMO	Homo sapiens (Human)	486
OPN3_HUMAN	Q9H1Y3	OPN3_HUMAN	reviewed	Opsin-3 (Encephalopsin) (Panopsin)	OPN3 ECPN	Homo sapiens (Human)	402
FMN2_HUMAN	Q9NZ56	FMN2_HUMAN	reviewed	Formin-2	FMN2	Homo sapiens (Human)	1722
TADA1_HUMAN	Q96BN2	TADA1_HUMAN	reviewed	Transcriptional adapter 1 (SPT3-associated factor 42) (STAF42) (Transcriptional adapter 1-like protein)	TADA1 TADA1L	Homo sapiens (Human)	335
PLD5_HUMAN	Q8N7P1	PLD5_HUMAN	reviewed	Inactive phospholipase D5 (Inactive PLD 5) (Inactive choline phosphatase 5) (Inactive phosphatidylcholine-hydrolyzing phospholipase D5) (PLDc)	PLD5	Homo sapiens (Human)	536
WDR64_HUMAN	B1ANS9	WDR64_HUMAN	reviewed	WD repeat-containing protein 64	WDR64	Homo sapiens (Human)	1081
S22AP_HUMAN	Q6T423	S22AP_HUMAN	reviewed	Solute carrier family 22 member 25 (Organic anion transporter UST6)	SLC22A25 UST6	Homo sapiens (Human)	547
CYAC3_HUMAN	Q8NBI2	CYAC3_HUMAN	reviewed	Lysosomal membrane ascorbate-dependent ferrireductase CYB561A3 (EC 7.2.1.3) (Cytochrome b ascorbate-dependent protein 3) (Cytochrome b561 family member A3) (Lysosomal cytochrome b) (LCytb)	CYB561A3 CYBASC3 PSEC0259	Homo sapiens (Human)	242
SG1D2_HUMAN	O95969	SG1D2_HUMAN	reviewed	Secretoglobin family 1D member 2 (Lipophilin-B)	SCGB1D2 LIPHB LPNB	Homo sapiens (Human)	90
UQCC3_HUMAN	Q6UW78	UQCC3_HUMAN	reviewed	Ubiquinol-cytochrome-c reductase complex assembly factor 3 (Assembly factor CBP4 homolog)	UQCC3 C11orf83 UNQ655/PRO1286	Homo sapiens (Human)	93
PEPA4_HUMAN	P0DJD7	PEPA4_HUMAN	reviewed	Pepsin A-4 (EC 3.4.23.1) (Pepsinogen-4)	PGA4	Homo sapiens (Human)	388
M4A8_HUMAN	Q9BY19	M4A8_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 8 (Four-span transmembrane protein 4) (Membrane-spanning 4-domains subfamily A member 8B)	MS4A8 4SPAN4 MS4A8B	Homo sapiens (Human)	250
S22AA_HUMAN	Q63ZE4	S22AA_HUMAN	reviewed	Solute carrier family 22 member 10 (Organic anion transporter 5)	SLC22A10 OAT5	Homo sapiens (Human)	541
GSTT1_HUMAN	P30711	GSTT1_HUMAN	reviewed	Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1) (Glutathione transferase T1-1)	GSTT1	Homo sapiens (Human)	240
TBA8_HUMAN	Q9NY65	TBA8_HUMAN	reviewed	Tubulin alpha-8 chain (Alpha-tubulin 8) (Tubulin alpha chain-like 2)	TUBA8 TUBAL2	Homo sapiens (Human)	449
RIM3A_HUMAN	Q9UFD9	RIM3A_HUMAN	reviewed	RIMS-binding protein 3A (RIM-BP3.A) (RIMS-binding protein 3.1) (RIM-BP3.1)	RIMBP3 KIAA1666 RIMBP3A	Homo sapiens (Human)	1639
LV301_HUMAN	P01715	LV301_HUMAN	reviewed	Immunoglobulin lambda variable 3-1 (Ig lambda chain V-IV region Bau) (Ig lambda chain V-IV region MOL) (Ig lambda chain V-IV region X)	IGLV3-1	Homo sapiens (Human)	115
LV39_HUMAN	A0A075B6K5	LV39_HUMAN	reviewed	Immunoglobulin lambda variable 3-9	IGLV3-9	Homo sapiens (Human)	115
IGLL5_HUMAN	B9A064	IGLL5_HUMAN	reviewed	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	IGLL5	Homo sapiens (Human)	214
NR3L1_HUMAN	Q68D85	NR3L1_HUMAN	reviewed	Natural cytotoxicity triggering receptor 3 ligand 1 (B7 homolog 6) (B7-H6)	NCR3LG1 B7H6	Homo sapiens (Human)	454
GSTT2_HUMAN	P0CG30	GSTT2_HUMAN	reviewed	Glutathione S-transferase theta-2B (EC 2.5.1.18) (GST class-theta-2) (Glutathione S-transferase theta-2)	GSTT2B GSTT2	Homo sapiens (Human)	244
DOPD_HUMAN	P30046	DOPD_HUMAN	reviewed	D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase) (Phenylpyruvate tautomerase II)	DDT	Homo sapiens (Human)	118
MEGF6_HUMAN	O75095	MEGF6_HUMAN	reviewed	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	MEGF6 EGFL3 KIAA0815	Homo sapiens (Human)	1541
H2BWT_HUMAN	Q7Z2G1	H2BWT_HUMAN	reviewed	Histone H2B type W-T (H2B histone family member W testis-specific) (H2B.W histone 1)	H2BW1 H2BFWT	Homo sapiens (Human)	175
H2B1A_HUMAN	Q96A08	H2B1A_HUMAN	reviewed	Histone H2B type 1-A (Histone H2B, testis) (TSH2B.1) (hTSH2B) (Testis-specific histone H2B)	H2BC1 HIST1H2BA TSH2B	Homo sapiens (Human)	127
IRPL2_HUMAN	Q9NP60	IRPL2_HUMAN	reviewed	X-linked interleukin-1 receptor accessory protein-like 2 (IL-1 receptor accessory protein-like 2) (IL-1-RAPL-2) (IL-1RAPL-2) (IL1RAPL-2) (EC 3.2.2.6) (IL1RAPL-2-related protein) (Interleukin-1 receptor 9) (IL-1R-9) (IL-1R9) (Three immunoglobulin domain-containing IL-1 receptor-related 1) (TIGIRR-1)	IL1RAPL2 IL1R9	Homo sapiens (Human)	686
ZN347_HUMAN	Q96SE7	ZN347_HUMAN	reviewed	Zinc finger protein 347 (Zinc finger protein 1111)	ZNF347 ZNF1111	Homo sapiens (Human)	839
ZN160_HUMAN	Q9HCG1	ZN160_HUMAN	reviewed	Zinc finger protein 160 (Zinc finger protein HZF5) (Zinc finger protein Kr18) (HKr18)	ZNF160 KIAA1611	Homo sapiens (Human)	818
ZN208_HUMAN	O43345	ZN208_HUMAN	reviewed	Zinc finger protein 208 (Zinc finger protein 91-like)	ZNF208 ZNF91L	Homo sapiens (Human)	1280
ZN677_HUMAN	Q86XU0	ZN677_HUMAN	reviewed	Zinc finger protein 677	ZNF677	Homo sapiens (Human)	584
ZN184_HUMAN	Q99676	ZN184_HUMAN	reviewed	Zinc finger protein 184	ZNF184	Homo sapiens (Human)	751
ZN268_HUMAN	Q14587	ZN268_HUMAN	reviewed	Zinc finger protein 268 (Zinc finger protein HZF3)	ZNF268	Homo sapiens (Human)	947
OR4KD_HUMAN	Q8NH42	OR4KD_HUMAN	reviewed	Olfactory receptor 4K13 (Olfactory receptor OR14-27)	OR4K13	Homo sapiens (Human)	304
SIG10_HUMAN	Q96LC7	SIG10_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 10 (Siglec-10) (Siglec-like protein 2)	SIGLEC10 SLG2 UNQ477/PRO940	Homo sapiens (Human)	697
SIGL5_HUMAN	O15389	SIGL5_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 5 (Siglec-5) (CD33 antigen-like 2) (Obesity-binding protein 2) (OB-BP2) (OB-binding protein 2) (CD antigen CD170)	SIGLEC5 CD33L2 OBBP2	Homo sapiens (Human)	551
SIGL8_HUMAN	Q9NYZ4	SIGL8_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 8 (Siglec-8) (Sialoadhesin family member 2) (SAF-2)	SIGLEC8 SAF2	Homo sapiens (Human)	499
SIG14_HUMAN	Q08ET2	SIG14_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 14 (Siglec-14)	SIGLEC14 UNQ294/PRO333	Homo sapiens (Human)	396
VN1R4_HUMAN	Q7Z5H5	VN1R4_HUMAN	reviewed	Vomeronasal type-1 receptor 4 (G-protein coupled receptor GPCR27) (hGPCR27) (V1r-like receptor 4)	VN1R4 V1RL4	Homo sapiens (Human)	301
SIGL1_HUMAN	Q8N7X8	SIGL1_HUMAN	reviewed	SIGLEC family-like protein 1	SIGLECL1 C19orf75	Homo sapiens (Human)	197
ZN679_HUMAN	Q8IYX0	ZN679_HUMAN	reviewed	Zinc finger protein 679	ZNF679	Homo sapiens (Human)	411
FRG2_HUMAN	Q64ET8	FRG2_HUMAN	reviewed	Protein FRG2 (FSHD region gene 2 protein)	FRG2 FRG2A	Homo sapiens (Human)	278
VN1R2_HUMAN	Q8NFZ6	VN1R2_HUMAN	reviewed	Vomeronasal type-1 receptor 2 (G-protein coupled receptor GPCR25) (hGPCR25) (V1r-like receptor 2)	VN1R2 V1RL2	Homo sapiens (Human)	395
ZN724_HUMAN	A8MTY0	ZN724_HUMAN	reviewed	Zinc finger protein 724	ZNF724 ZNF724P	Homo sapiens (Human)	619
CTR3_HUMAN	Q8WY07	CTR3_HUMAN	reviewed	Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3)	SLC7A3 ATRC3 CAT3	Homo sapiens (Human)	619
NCTR1_HUMAN	O76036	NCTR1_HUMAN	reviewed	Natural cytotoxicity triggering receptor 1 (Lymphocyte antigen 94 homolog) (NK cell-activating receptor) (Natural killer cell p46-related protein) (NK-p46) (NKp46) (hNKp46) (CD antigen CD335)	NCR1 LY94	Homo sapiens (Human)	304
TNNI3_HUMAN	P19429	TNNI3_HUMAN	reviewed	Troponin I, cardiac muscle (Cardiac troponin I)	TNNI3 TNNC1	Homo sapiens (Human)	210
LIRA6_HUMAN	Q6PI73	LIRA6_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily A member 6 (Immunoglobulin-like transcript 8) (ILT-8) (Leukocyte Ig-like receptor)	LILRA6 ILT8	Homo sapiens (Human)	481
LIRB3_HUMAN	O75022	LIRB3_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	LILRB3 ILT5 LIR3	Homo sapiens (Human)	631
ZNF91_HUMAN	Q05481	ZNF91_HUMAN	reviewed	Zinc finger protein 91 (Zinc finger protein HPF7) (Zinc finger protein HTF10)	ZNF91	Homo sapiens (Human)	1191
KI3L2_HUMAN	P43630	KI3L2_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k)	KIR3DL2 CD158K NKAT4	Homo sapiens (Human)	455
TARM1_HUMAN	B6A8C7	TARM1_HUMAN	reviewed	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	TARM1	Homo sapiens (Human)	271
VSTM1_HUMAN	Q6UX27	VSTM1_HUMAN	reviewed	V-set and transmembrane domain-containing protein 1 (Signal inhibitory receptor on leukocytes-1) (SIRL-1)	VSTM1 UNQ3033/PRO9835	Homo sapiens (Human)	236
CX6B2_HUMAN	Q6YFQ2	CX6B2_HUMAN	reviewed	Cytochrome c oxidase subunit 6B2 (Cancer/testis antigen 59) (CT59) (Cytochrome c oxidase subunit VIb isoform 2) (COX VIb-2) (Cytochrome c oxidase subunit VIb, testis-specific isoform)	COX6B2	Homo sapiens (Human)	88
ZN736_HUMAN	B4DX44	ZN736_HUMAN	reviewed	Zinc finger protein 736	ZNF736	Homo sapiens (Human)	427
ZN727_HUMAN	A8MUV8	ZN727_HUMAN	reviewed	Putative zinc finger protein 727 (Zinc finger protein 727 pseudogene)	ZNF727 ZNF727P	Homo sapiens (Human)	499
OR2G2_HUMAN	Q8NGZ5	OR2G2_HUMAN	reviewed	Olfactory receptor 2G2 (Olfactory receptor OR1-32)	OR2G2	Homo sapiens (Human)	317
OR2G3_HUMAN	Q8NGZ4	OR2G3_HUMAN	reviewed	Olfactory receptor 2G3 (Olfactory receptor OR1-33)	OR2G3	Homo sapiens (Human)	309
OR2W6_HUMAN	Q8NHA6	OR2W6_HUMAN	reviewed	Putative olfactory receptor 2W6 (Olfactory receptor OR6-3) (Putative olfactory receptor 2W7)	OR2W6P OR2W7P	Homo sapiens (Human)	318
H31_HUMAN	P68431	H31_HUMAN	reviewed	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J	Homo sapiens (Human)	136
H2A3_HUMAN	Q7L7L0	H2A3_HUMAN	reviewed	Histone H2A type 3	H2AW HIST3H2A	Homo sapiens (Human)	130
H2B3B_HUMAN	Q8N257	H2B3B_HUMAN	reviewed	Histone H2B type 3-B (H2B type 12) (H2B.U histone 1)	H2BU1 HIST3H2BB	Homo sapiens (Human)	126
VNRL4_HUMAN	Q8TDU5	VNRL4_HUMAN	reviewed	Putative vomeronasal receptor-like protein 4 (G-protein coupled receptor GPCR23) (hGPCR23)	VN1R17P VNRL4	Homo sapiens (Human)	208
OR2H1_HUMAN	Q9GZK4	OR2H1_HUMAN	reviewed	Olfactory receptor 2H1 (Hs6M1-16) (OLFR42A-9004.14/9026.2) (Olfactory receptor 2H6) (Olfactory receptor 2H8) (Olfactory receptor 6-2) (OR6-2) (Olfactory receptor OR6-32)	OR2H1 OR2H6 OR2H8	Homo sapiens (Human)	316
